IDX,MTR_NUM,MTR_MFR,MTR_MFR_NUM,FLC_200_50,FLC_200_60,FLC_208_50,FLC_208_60,FLC_220_50,FLC_220_60,FLC_230_50,FLC_230_60,FLC_240_50,FLC_240_60,FLC_380_50,FLC_380_60,FLC_400_50,FLC_415_50,FLC_460_60,FLC_575_60
1,51067,,,4,NULL,4,NULL,3.8,4,3.8,4,3.8,4,2,2,2,2,2,NULL
2,55090,,,9.2,NULL,9.2,8.1,NULL,8.05,NULL,8,NULL,NULL,4.6,NULL,4.6,4.6,4,NULL
3,80053,,,11,9.6,10.6,9.3,NULL,8.8,NULL,8.4,NULL,NULL,NULL,NULL,NULL,NULL,4.2,NULL
4,80054,,,NULL,NULL,NULL,NULL,7.5,6.6,7.8,NULL,8,NULL,NULL,3.8,NULL,NULL,NULL,NULL
5,80486,,,11.8,10.6,11.4,10.4,NULL,10.1,NULL,9.9,NULL,9.6,NULL,NULL,5.9,5.7,5,NULL
6,80487,,,NULL,NULL,NULL,NULL,12.1,10,11.8,NULL,11.4,NULL,7.2,5.95,6.97,6.8,NULL,NULL
7,49619,,,17.3,14.7,18.2,14.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,49882,,,NULL,NULL,NULL,NULL,14.4,13,14.8,NULL,15.2,NULL,8.3,7.5,8.59,8.8,NULL,NULL
9,49620,,,NULL,NULL,NULL,13.8,NULL,13.36,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,6.5,NULL
10,13752,,,NULL,NULL,NULL,NULL,6.1,5.5,6.25,NULL,6.4,NULL,3.5,3.2,3.61,3.7,NULL,NULL
11,13754,,,6,5.7,6,5.62,NULL,5.48,NULL,5.4,NULL,NULL,NULL,NULL,3,NULL,2.7,NULL
12,17549,,,NULL,NULL,NULL,NULL,6.1,5.5,6.25,NULL,6.4,NULL,3.5,3.2,3.61,3.7,NULL,NULL
13,17550,,,6,5.7,6,5.62,NULL,5.48,NULL,5.4,NULL,NULL,NULL,NULL,3,NULL,2.7,NULL
14,27378,,,NULL,NULL,NULL,NULL,NULL,NULL,7,4.5,8,4.5,NULL,NULL,2.5,2.5,2.1,NULL
15,27379,,,12,9.7,11.6,9.3,11,8.7,NULL,NULL,NULL,NULL,6.4,5,NULL,NULL,NULL,NULL
16,27381,,,NULL,NULL,NULL,NULL,NULL,NULL,7,4.5,8,4.5,NULL,NULL,2.5,2.5,2.1,NULL
17,27382,,,12,9.7,11.6,9.3,11,8.7,NULL,NULL,NULL,NULL,6.4,5,NULL,NULL,NULL,NULL
18,39338,,,3.2,NULL,NULL,2.8,NULL,2.91,NULL,3,NULL,NULL,NULL,NULL,1.6,NULL,1.5,NULL
19,39339,,,NULL,NULL,NULL,NULL,2.8,2.3,2.85,2.35,2.9,2.4,1.6,1.3,1.66,1.7,NULL,NULL
20,93409,,,5.9,NULL,5.69,NULL,5.37,5.4,5.1,5.2,NULL,5,3.1,NULL,2.96,2.85,2.6,NULL
21,48582,,,19.8,16.8,19.1,16.21,NULL,15.33,NULL,14.6,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL
22,48583,,,NULL,NULL,NULL,NULL,14.7,14.2,14.8,NULL,14.9,NULL,8.5,8.2,8.56,8.6,NULL,NULL
23,51690,,,NULL,NULL,NULL,NULL,8.8,8.1,9.15,NULL,9.5,NULL,5.1,4.7,5.33,5.5,NULL,NULL
24,51691,,,9.2,8.6,9.2,8.44,NULL,8.2,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,1.8,NULL
25,42579,,,14.8,NULL,14.59,NULL,14.27,14.4,14,14.1,NULL,13.8,8.3,NULL,7.9,7.6,6.9,NULL
26,42580,,,NULL,14,NULL,14.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,42581,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.5,NULL,NULL,NULL,NULL
28,58224,,,4.2,NULL,4.06,NULL,3.85,NULL,3.68,NULL,3.5,NULL,2.2,1.9,2.09,2,1.6,NULL
29,58225,,,NULL,4.9,NULL,4.74,NULL,4.51,NULL,4.32,NULL,4.12,NULL,NULL,NULL,NULL,NULL,NULL
30,58393,,,9.3,NULL,9,NULL,8.55,NULL,8.18,NULL,7.8,NULL,4.9,4.9,4.67,4.5,4.05,NULL
31,58394,,,NULL,9.3,NULL,9,NULL,8.55,NULL,8.18,NULL,7.8,NULL,NULL,NULL,NULL,4.05,NULL
32,60684,,,5.8,NULL,NULL,6.2,NULL,5.98,NULL,5.8,NULL,NULL,2.9,NULL,2.9,2.9,2.9,NULL
33,60685,,,5.8,NULL,NULL,6.2,NULL,5.98,NULL,5.8,NULL,NULL,2.9,NULL,2.9,2.9,2.9,NULL
34,16554,,,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
